  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Development,Condition,Procedure instructions,BFG Productive Database,AiVVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,AmZVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,AqbVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,AudVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,AyfVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,QiTVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,QmXVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,QqZVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,QubVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,QydVo7uN1cuxKD
Management and Process,Condition,Information,BFG Productive Database,RwdVo7uN1cuxKD
Management and Process,Condition,Information,BFG Productive Database,R0fVo7uN1cuxKD
Management and Process,Condition,Information,BFG Productive Database,RoXVo7uN1cuxKD
Management and Process,Condition,Information,BFG Productive Database,RsbVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,hPRVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,R$ZVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,hDdVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,hHfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,xbfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,xPXVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,xTbVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,xXdVo7uN1cuxKD
Manufacturing,---,---,BFG Productive Database,ScfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,SkTVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,SoVVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,SsXVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,yJbVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,yNfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,yVRVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,yZTVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,ydVVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,yhXVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,ylZVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,ypbVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,BFG Productive Database,ytdVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SyVVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SWXVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SabVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SedVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SifVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SqRVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,SuTVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,jYbVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,jAfVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,jITVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,jMVVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,jQXVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,jUZVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,zFVVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,zJZVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,zNbVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,zRdVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,zVfVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,zxTVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,z1XVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,AqUdO37_1cuxKD
Management and Process,Condition,---,BFG Productive Database,z6XVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,z_bVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,DDdVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,DHfVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DPRVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DTTVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DXVVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DbXVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DfZVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DjbVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DndVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DrfVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,DzRVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,D3TVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,D7VVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,D$XVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,TDZVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,THbVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,TLdVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,TPfVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,TXRVo7uN1cuxKD
Development,Condition,Information,BFG Productive Database,TbTVo7uN1cuxKD
Management and Process,Condition,---,BFG Productive Database,UMdVo7uN1cuxKD
Management and Process,Condition,---,BFG Productive Database,UURVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UYTVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UcVVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UgXVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UkZVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UobVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UsdVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,UwfVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,U4RVo7uN1cuxKD
Development,Condition,Directives and standards,BFG Productive Database,U8TVo7uN1cuxKD
Development,Condition,Directives and standards,BFG Productive Database,kAVVo7uN1cuxKD
Development,Condition,Directives and standards,BFG Productive Database,kEXVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,kIZVo7uN1cuxKD
Development,Condition,Procedure instructions,BFG Productive Database,kMbVo7uN1cuxKD
Manufacturing,Specification,Others,BFG Productive Database,EdRVo7uN1cuxKD
Manufacturing,Specification,Others,BFG Productive Database,EVdVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,k9fVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,kZdVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,khRVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,klTVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,kpVVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,ktXVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,kxZVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,k1bVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,BFG Productive Database,k5dVo7uN1cuxKD
---,---,---,BFG Productive Database,0mbVo7uN1cuxKD
Development,Specification,---,BFG Productive Database,0ufVo7uN1cuxKD
---,---,---,BFG Productive Database,loXVo7uN1cuxKD
Manufacturing,Specification,Inspection and test document,BFG Productive Database,1yTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,V7ZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,V$dVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lDfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lLRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lPTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lTVVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lXXVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lbZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lfbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,ljdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lnfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lvRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,lzTVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,l3VVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,l7XVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,l$ZVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,1DbVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,1HdVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,1LfVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,1TRVo7uN1cuxKD
Development,Specification,Information,BFG Productive Database,1XTVo7uN1cuxKD
