  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Development,Condition,Procedure instructions,Kimpo Productive Database,AiVVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,AmZVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,AqbVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,AudVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,AyfVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,QiTVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,QmXVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,QqZVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,QubVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,QydVo7uN1cuxKD
Management and Process,Condition,Information,Kimpo Productive Database,RwdVo7uN1cuxKD
Management and Process,Condition,Information,Kimpo Productive Database,R0fVo7uN1cuxKD
Management and Process,Condition,Information,Kimpo Productive Database,RoXVo7uN1cuxKD
Management and Process,Condition,Information,Kimpo Productive Database,RsbVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,hPRVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,R$ZVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,hDdVo7uN1cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,hHfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,xbfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,xPXVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,xTbVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,xXdVo7uN1cuxKD
Manufacturing,---,---,Kimpo Productive Database,ScfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,SkTVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,SoVVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,SsXVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,yJbVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,yNfVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,yVRVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,yZTVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,ydVVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,yhXVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,ylZVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,ypbVo7uN1cuxKD
Manufacturing,Condition,Procedure instructions,Kimpo Productive Database,ytdVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SyVVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SWXVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SabVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SedVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SifVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SqRVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,SuTVo7uN1cuxKD
Development,Condition,Procedure instructions,Kimpo Productive Database,jYbVo7uN1cuxKD
