Classes;German;English
IEC 62474;IEC 62474;IEC 62474
IEC 62474|Inorganic materials;Inorganic materials;Inorganic materials
IEC 62474|Organic materials;Organic materials;Organic materials
IEC 62474|Inorganic materials|Metals and Metal Alloys;Metals and Metal Alloys;Metals and Metal Alloys
IEC 62474|Inorganic materials|Non-metals;Non-metals;Non-metals
IEC 62474|Organic materials|Plastics and rubber;Plastics and rubber;Plastics and rubber
IEC 62474|Organic materials|Other organics;Other organics;Other organics
IEC 62474|Inorganic materials|Metals and Metal Alloys|Ferrous alloys;Ferrous alloys;Ferrous alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys;Non-ferrrous metals and alloys;Non-ferrrous metals and alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Ferrous alloys|M-001;M-001 Stainless steel;M-001 Stainless steel
IEC 62474|Inorganic materials|Metals and Metal Alloys|Ferrous alloys|M-002;M-002 Other Ferrous alloys, non-stainless steels;M-002 Other Ferrous alloys, non-stainless steels
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-003;M-003 Aluminum and its alloys;M-003 Aluminum and its alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-004;M-004 Copper and its alloys;M-004 Copper and its alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-005;M-005 Magnesium and its alloys;M-005 Magnesium and its alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-006;M-006 Nickel and its alloys;M-006 Nickel and its alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-007;M-007 Zinc and its alloys;M-007 Zinc and its alloys
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-008;M-008 Precious metals;M-008 Precious metals
IEC 62474|Inorganic materials|Metals and Metal Alloys|Non-ferrrous metals and alloys|M-009;M-009 Other non-ferrous metals and alloys;M-009 Other non-ferrous metals and alloys
IEC 62474|Inorganic materials|Non-metals|M-010;M-010 Ceramics / Glass;M-010 Ceramics / Glass
IEC 62474|Inorganic materials|Non-metals|M-011;M-011 Other inorganic materials;M-011 Other inorganic materials
IEC 62474|Organic materials|Plastics and rubber|M-012;M-012 PolyVinylChloride (PVC);M-012 PolyVinylChloride (PVC)
IEC 62474|Organic materials|Plastics and rubber|M-013;M-013 Other Thermoplastics;M-013 Other Thermoplastics
IEC 62474|Organic materials|Plastics and rubber|M-014;M-014 Other Plastics and Rubber;M-014 Other Plastics and Rubber
IEC 62474|Organic materials|Other organics|M-015;M-015 Other Organic Materials;M-015 Other Organic Materials
